tovar_usluga,id_indicator,period,territory,territory.ccube.0,territory.ccube.1,territory.ccube.2,territory.ccube.3,territory.ccube.4,territory.ccube.5,territory.ccube.6,territory.ccube.7,value
1001,1307,2020/1/9,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,167.7
1001,1307,2020/1/13,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,168.28
1001,1307,2020/1/20,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,167.99
1001,1307,2020/1/27,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,167.9
1001,1307,2020/2/3,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,167.2
1001,1307,2020/2/10,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,167.24
1001,1307,2020/2/17,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,167.37
1001,1307,2020/2/25,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,168.01
1001,1307,2020/3/2,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,167.7
1001,1307,2020/3/10,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,169.36
1001,1307,2020/3/16,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,169.59
1001,1307,2020/3/23,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,168.96
1001,1307,2020/3/30,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,166.89
1001,1307,2020/4/6,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,168.12
1001,1307,2020/4/13,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,168.83
1001,1307,2020/4/20,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,166.69
1001,1307,2020/4/27,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,166.73
1001,1307,2020/5/6,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,167.48
1001,1307,2020/5/12,41000000,643,31,41000000,41000000,41000000,41000000,41000000,41000000,167.21
